Orig;V1;V2;V3;Orig/V3
488000;194000;176000;195000;2.50256
804457000;493866000;421296000;440386000;1.82671
2337000;1330000;1023000;1067000;2.19025
2417000;1452000;1026000;1064000;2.27162
941000;810000;637000;661000;1.42360
3783000;2810000;2321000;2356000;1.60569
1103000;797000;574000;580000;1.90172
29799000;21645000;16607000;17329000;1.71960
24439000;16749000;12696000;13338000;1.83228
14493000;10789000;8258000;8593000;1.68661
18239000;2616756000;1809598000;4670000;3.90557
413000;1661085000;1018878000;220000;1.87727
211000;132000;120000;97000;2.17526
264000;188000;170000;155000;1.70323
9562000;7172000;5393000;5629000;1.69870
22990000;28114000;7428000;7645000;3.00719
13274000;9364000;2778000;847000;15.67178
3154000;12554000;8498000;852000;3.70188
6502000;1882000;1969000;2088000;3.11398
50713000;31534000;26696000;27726000;1.82908
1008999;759000;601000;614000;1.64332
55102000;26771000;10203000;10703000;5.14828
24312000;11860000;8566000;6794000;3.57845
29159000;18397000;14024000;14837000;1.96529
9613000;7879000;6303000;6433000;1.49433
3875000;2801000;2165000;2267000;1.70931
9183000;6815000;5214000;5404000;1.69930
2983000;1988000;1308000;1327000;2.24793
110802000;73119000;57891000;59025000;1.87720
114894000;67707000;54766000;57200000;2.00864
11311000;5762000;4997000;5179000;2.18401
26922000;16871000;11921000;12401000;2.17095
2851000;4482000;3270000;1589000;1.79421
2624000;1787000;1239000;1236000;2.12298
31102000;23425000;15988000;16335000;1.90401
165000;87000;91000;94000;1.75532
395000;245000;210000;203000;1.94581
2240000;1498000;1090000;1061000;2.11122
8101000;5564000;3850000;3959000;2.04622
29662000;20293000;15559000;16336000;1.81574
2779000;1845000;1308000;1315000;2.11331
33714000;24370000;16979000;17693000;1.90550
208000;129000;108000;120000;1.73333
765000;529000;375000;385000;1.98701
2766000;1938000;1282000;1290000;2.14419
18385000;5857000;4562000;2654000;6.92728
19481000;7214000;7559000;7901000;2.46564
9410000;6213000;4776000;4999000;1.88238
6328000;4547000;3240000;3231000;1.95853
3463000;2783000;2086000;2135000;1.62201
740000;489000;341000;348000;2.12644
6034000;3694000;2565000;2649000;2.27784
1531000;1326000;1002000;999000;1.53253
1310000;1077000;826000;837000;1.56511
5726000;4158000;3165000;3316000;1.72678
5424000;2435000;2721000;2836000;1.91255
3142000;2643000;1936000;1972000;1.59331
7235000;5037000;3562000;3649000;1.98273
1549000;1258000;957000;972000;1.59362
259999;131000;128000;129000;2.01550
1206000;824000;547000;576000;2.09375
2920000;2480000;1784000;1825000;1.60000
5485000;1506000;1096000;2200000;2.49318
12963000;8293000;5248000;5584000;2.32145
1981999;1236000;865000;898000;2.20713
162356000;113488000;78831000;80124000;2.02631
9254000;8116000;5856000;6013000;1.53900
37378000;29483000;21249000;22115000;1.69017
6130000;3872000;3070000;3148000;1.94727
7186000;4428000;3001000;2999000;2.39613
6034000;4293000;3634000;3740000;1.61337
6108000;4339000;3002000;3042000;2.00789
2046000;1594000;1161000;1166000;1.75472
72021000;54295000;40126000;41330000;1.74258
3814000;3136000;2278000;2329000;1.63761
9038000;6139000;4277000;4388000;2.05971
6400000;4456000;3767000;3822000;1.67452
165702000;108943000;82433000;87584000;1.89192
68665000;28790000;25527000;26720000;2.56980
5572000;16002535000;11333036000;2925000;1.90496
6793000;5696000;4215000;4323000;1.57136
2398000;2013000;1439000;1482000;1.61808
6370000;5071000;3732000;3728000;1.70869
12940000;7859000;5561000;5761000;2.24614
24413000;12372000;7899000;8258000;2.95628
24819000;17155000;12646000;12999000;1.90930
33520000;23183000;17953000;18830000;1.78014
737000;362000;288000;305000;2.41639
5074000;3565000;2468000;2532000;2.00395
18903000;13093000;9936000;10575000;1.78752
9305000;6106000;5136000;5242000;1.77509
2902000;2049000;1393000;1416000;2.04944
5493000;3390000;2386000;2384000;2.30411
113000;54000;47000;46000;2.45652
69120000;36726000;27114000;29760000;2.32258
354000;192000;160000;165000;2.14545
613000;483000;371000;380000;1.61316
23953000;3728000;2416000;2473000;9.68581
3293000;8601000;6152000;2012000;1.63668
1855000;474000;513000;524000;3.54008
1038000;554000;432000;453000;2.29139
6660000;5484000;4548000;4671000;1.42582
2402000;2061000;1606000;1615000;1.48731
1863000;1034000;830000;840000;2.21786
421000;315000;242000;248000;1.69758
